label,youtube_id,time_start,time_end,split
skiing mono,73gJWLsIORk,0,10,train
pulling rope (game),73la3HoB79E,13,23,train
playing piccolo,740L39ECKk4,42,52,train
combing hair,742Tui4X83Y,25,35,train
vacuuming car,74mcszTab-E,699,709,train
photobombing,75-wLnVTCts,26,36,train
playing shuffleboard,75CV25_ttiU,0,10,train
filling eyebrows,75GeJKSciQY,12,22,train
playing with trains,75jbMiA_nO8,139,149,train
brushing floor,75lU72uX3Nk,182,192,train
putting on shoes,779LbfbX42s,0,10,train
spinning plates,77XJsTZ60hs,8,18,train
decoupage,77dBNPwY5Aw,203,213,train
looking in mirror,77lSg7gBGl0,16,26,train
cutting cake,78abctKejEM,0,10,train
steer roping,793dfysjFWM,10,20,train
scrubbing face,796SPg9z2xg,118,128,train
peeling banana,79cF6lsIvKE,0,10,train
cutting cake,79h8CFtLAOM,0,10,train
home roasting coffee,79hFq8PQo-U,803,813,train
vacuuming car,7AK1JjkO_3s,160,170,train
stacking dice,7ANP3S1zGW8,152,162,train
adjusting glasses,7AOGNq7odyM,19,29,train
saluting,7C0Ypv7-yr4,224,234,train
scrapbooking,7CXuScH55nA,217,227,train
vacuuming car,7CfLMtd2is8,0,10,train
scrapbooking,7CiylA5eXm0,29,39,train
seasoning food,7D1KKOkkPOU,178,188,train
decoupage,7DrYS8CP73w,249,259,train
laying stone,7Dsl8wmkKR4,169,179,train
testifying,7E5v5ROmU18,0,10,train
threading needle,7E7R8jO8sO8,67,77,train
carving marble,7EN2GqGKZSA,0,10,train
milking goat,7Ea0JhihIf8,14,24,train
jumping sofa,7F9vxrcEljc,0,10,train
playing with trains,7FA4TuWcNhE,59,69,train
steering car,7FCZ2ZcK-7M,24,34,train
dealing cards,7FFHuWV4A6s,169,179,train
testifying,7FL_vM2iNMw,0,10,train
swimming with sharks,7FUCVKRDW64,15,25,train
pulling rope (game),7FYwnC-FnDQ,12,22,train
pouring milk,7FmMoyS5L7A,0,10,train
decoupage,7FsLVJTI0mg,0,10,train
putting wallpaper on wall,7GF8wetFC9E,96,106,train
playing piccolo,7GJoWjdnCbQ,7,17,train
surveying,7GVn_h18lrw,408,418,train
scrubbing face,7Ggj6PsDxBE,47,57,train
passing American football (in game),7Hf68AvVv2o,0,10,train
steer roping,7HhtihvSCBQ,9,19,train
playing mahjong,7HoxiuPZdTs,699,709,train
looking in mirror,7IC5JHS2_jk,0,10,train
sausage making,7ImmxgkSQIk,523,533,train
pulling rope (game),7Iq29Fg3LzQ,0,10,train
ice swimming,7JXZTCc-erY,85,95,train
ice swimming,7KDmb62ySv4,33,43,train
using atm,7MXc8SYiSOs,41,51,train
playing piccolo,7MbB26xeRtY,48,58,train
mixing colours,7MbnooQiUWE,0,10,train
pulling rope (game),7MwNsEJS35M,0,10,train
decoupage,7MzdXRB7kw8,441,451,train
entering church,7NADgucmT2A,72,82,train
calculating,7NDXamc2Gts,143,153,train
taking photo,7NKo_-BiSoQ,117,127,train
steer roping,7NjF-wYT3Mo,11,21,train
playing nose flute,7O66eQ7EQ44,0,10,train
playing mahjong,7O85D1G9alA,0,10,train
chasing,7OV7donzdJU,40,50,train
decoupage,7Oeh9Uo2FSA,162,172,train
making slime,7OeqNiDjBuc,63,73,train
polishing furniture,7P_pbs8zOqU,0,10,train
shoot dance,7PdHDBVvt44,58,68,train
bending back,7PeBhT8a6tY,102,112,train
seasoning food,7PnkmvcJE-o,98,108,train
putting on sari,7QDb34sQhLo,0,10,train
petting horse,7QRdtZDqOew,0,10,train
carving marble,7R2aNzH9h84,219,229,train
waxing armpits,7S_345HGFBQ,0,10,train
passing American football (in game),7ShqHJxXnBs,54,64,train
decoupage,7Srd-Ftn2bs,0,10,train
brushing floor,7Tfx-BySjdE,119,129,train
bending back,7TkUCUq-1zk,9,19,train
home roasting coffee,7TqWbnOy59w,0,10,train
curling eyelashes,7UJxfLwWE4w,91,101,train
playing shuffleboard,7UpgIJtQIPk,26,36,train
laying stone,7VFRDWe0u30,89,99,train
pulling rope (game),7VPnXIGuHE0,15,25,train
tiptoeing,7VsFyhJV_9U,24,34,train
testifying,7Vwop5j2ouM,0,10,train
stacking dice,7WB_gVgVKO4,5,15,train
playing with trains,7WCQkVU7oK0,74,84,train
pulling rope (game),7WDuJSqjNKE,0,10,train
using atm,7WVEyKC1sJE,0,10,train
scrapbooking,7Wa_El19XtA,0,10,train
threading needle,7YRvhKZu6a0,54,64,train
putting wallpaper on wall,7YZoIIxymxI,0,10,train
base jumping,7ZpY0g4meP4,10,20,train
stacking dice,7_43mCxB4CY,14,24,train
making slime,7a8IN8T22N4,81,91,train
eating nachos,7aMR7kT5t5E,23,33,train
letting go of balloon,7ajNpkeYRd4,320,330,train
square dancing,7anLCUj2whM,13,23,train
cutting cake,7apDg_yWKCc,0,10,train
calculating,7bDX5s6vulo,594,604,train
seasoning food,7bhsZOMNJI0,0,10,train
carrying weight,7c9WuVvYGDs,0,10,train
steer roping,7cIMmZ52u-8,14,24,train
letting go of balloon,7d0pUEYTYA0,18,28,train
carving marble,7dFFJdOvnwg,0,10,train
seasoning food,7dMhtevrqLU,146,156,train
playing with trains,7dUnFfiCQDk,18,28,train
gospel singing in church,7dx0m7OO98g,178,188,train
steering car,7e-UumTUdUc,0,10,train
jumping sofa,7e6ChfqGd8s,0,10,train
passing American football (in game),7epaDYXBRno,1,11,train
shooting off fireworks,7fFsSZlDYow,477,487,train
opening coconuts,7fg6510TZwI,14,24,train
playing nose flute,7fic0h11f4Q,0,10,train
combing hair,7fpCD-7hUjA,0,10,train
taking photo,7g1h4DRtd3w,181,191,train
dealing cards,7gJZoTlTdrU,270,280,train
assembling bicycle,7h1JwJ7ZcfQ,130,140,train
squeezing orange,7hl7BAt7Zt8,0,10,train
opening coconuts,7i1XhsyxYy8,2,12,train
seasoning food,7i2QehDSYYw,36,46,train
putting on sari,7iS3Qzd5ZBU,24,34,train
carving marble,7iybYtlOEgY,374,384,train
playing with trains,7jvLBdugKjE,108,118,train
coloring in,7kehSkm-vl8,0,10,train
playing piccolo,7koM1i4xiIc,25,35,train
closing door,7l2rm1npy90,0,10,train
brushing floor,7lHz_UE4oyk,43,53,train
swimming with sharks,7lI8Ez3Zi5w,82,92,train
twiddling fingers,7lJPM1yQHgU,23,33,train
pulling rope (game),7m8ws7QCY_c,40,50,train
playing piccolo,7mHSPqnK8sQ,126,136,train
spinning plates,7mMeuvY512E,0,10,train
steering car,7mSnDbcFS74,0,10,train
playing piccolo,7ncMO1_GDiw,0,10,train
tossing salad,7nffcQl84mM,23,33,train
opening coconuts,7nnVD-aqz0g,42,52,train
decoupage,7o57TawWHYs,33,43,train
picking apples,7o6zKuzkovw,61,71,train
coloring in,7oAlYeEPH7M,185,195,train
playing road hockey,7ofYb7U7dsE,211,221,train
dealing cards,7pBeN320kt4,0,10,train
brushing floor,7pQpe69PvPU,0,10,train
letting go of balloon,7pomSWEbvU8,0,10,train
sieving,7prNjaQdYk8,315,325,train
opening coconuts,7qOh_3doqA4,94,104,train
playing nose flute,7qvvPXPP-Yg,0,10,train
shoot dance,7rEFtdpSClk,21,31,train
saluting,7rbbmwJViho,0,10,train
closing door,7s8kym4eIbo,0,10,train
looking in mirror,7sFMMmanTPk,0,10,train
laying stone,7sTfb6KHq7M,369,379,train
closing door,7syaEtWtHOY,0,10,train
decoupage,7szWsbP94LY,0,10,train
sucking lolly,7t-3fYwrb2o,123,133,train
photobombing,7tDC4Pj1-Fw,0,10,train
playing shuffleboard,7tR-w0hScXg,0,10,train
scrapbooking,7trEx--aBUQ,0,10,train
making slime,7txy1DrkGDY,236,246,train
steering car,7u2Yo9ThiwI,10,20,train
making slime,7u4y40Xef2M,75,85,train
vacuuming car,7uAUDa4dNnI,78,88,train
doing sudoku,7ua38Zj0FDM,624,634,train
milking goat,7vwbuEVt3ug,0,10,train
passing American football (in game),7vxD-Z_slTM,0,10,train
pouring wine,7x5cCjOro-c,30,40,train
stacking dice,7xLyoXbRJrQ,0,10,train
stacking dice,7xl1iOynGnI,4,14,train
playing with trains,7yLCADvc0KI,60,70,train
squeezing orange,7yaNhR6qpUs,0,10,train
pouring milk,7ysuLPI2GsI,0,10,train
dealing cards,7zb3GnRNYq0,25,35,train
jumping sofa,8-0rX9o9zP0,0,10,train
picking blueberries,8-5z65LF_qQ,0,10,train
pouring milk,8-AFV2E2Hp8,0,10,train
dyeing eyebrows,8-IBT1ut8yM,788,798,train
delivering mail,80n2tjSTjYc,992,1002,train
skiing mono,80zlY518hZo,0,10,train
steering car,81CbCZp_V4c,0,10,train
steering car,81J8KO3uEH0,0,10,train
picking blueberries,81XnpyFQVX8,94,104,train
playing mahjong,81ahSxAmz_Y,0,10,train
scrubbing face,81kn65tNNtM,88,98,train
entering church,81rd_HMzXuI,116,126,train
filling eyebrows,81uK-4tV29c,0,10,train
steer roping,81wmKmKcrE4,0,10,train
luge,82YMHI3OJsk,0,10,train
pouring wine,82YRlWeYEqg,3,13,train
poaching eggs,82aoKLKGJ38,335,345,train
pulling rope (game),82fEj-AA7tk,0,10,train
playing nose flute,82hcvWdQ9qA,26,36,train
stacking dice,83Mu3F7hz40,65,75,train
petting horse,84RHXCzK2zM,0,10,train
scrapbooking,84c0Ht2luhk,0,10,train
pulling rope (game),84ijurzgu74,28,38,train
mixing colours,859SJIS6R8E,36,46,train
tossing salad,85OA4cMf5o8,47,57,train
home roasting coffee,86376eb9ZKM,131,141,train
steering car,86f07ftAo1g,0,10,train
playing nose flute,86fONGAfgfc,0,10,train
stacking dice,86fnSIj-hUw,2,12,train
stacking dice,87xiqPWG-TQ,0,10,train
eating nachos,88XRFh7T4z4,506,516,train
swimming with sharks,88YdGEcmOmA,0,10,train
playing mahjong,88aQlDkzqs4,0,10,train
swimming with sharks,88gLFkMq4Io,0,10,train
squeezing orange,89YTlyz4GXQ,105,115,train
blending fruit,89eksMK7fYs,183,193,train
coloring in,89g9dU9rNvM,32,42,train
using atm,8A2QdE3uZpE,197,207,train
polishing furniture,8A4RkkqAE2E,42,52,train
waxing armpits,8A9aHiKBCQI,270,280,train
doing sudoku,8APPfl6zpxc,28,38,train
decoupage,8BGvXqxNb2s,334,344,train
saluting,8BqEQCCehIE,104,114,train
stacking dice,8BvshpyVerc,0,10,train
squeezing orange,8CTWpjTx4Zo,155,165,train
gospel singing in church,8CavQEw6Gyo,0,10,train
treating wood,8DK25Dw-bMs,191,201,train
base jumping,8DZxOjTTxR8,0,10,train
uncorking champagne,8EBT_ec1u3o,50,60,train
seasoning food,8EeEjBiiPvc,0,10,train
metal detecting,8FGcMguwuas,505,515,train
doing sudoku,8FIdUoepJyo,252,262,train
pouring milk,8FNRDZiI0dg,39,49,train
blending fruit,8FX9BHbq6K0,20,30,train
dealing cards,8G4-f7U5GLs,241,251,train
playing with trains,8G9VWkdpiyM,0,10,train
seasoning food,8GNRkIqQbGM,48,58,train
treating wood,8GlrjscfHpE,0,10,train
waxing armpits,8Gsgk6CPtdA,0,10,train
shoot dance,8HBkAcBfgXI,1,11,train
playing road hockey,8HE72gPOsEk,231,241,train
baby waking up,8HJIbKb2_v0,25,35,train
testifying,8HzBJTfk-mQ,87,97,train
waxing armpits,8JiPElRsl3I,110,120,train
jumping sofa,8Jjd8Hh7pfk,0,10,train
mixing colours,8JmTd6SdavM,20,30,train
swimming with sharks,8Jr_IQ4UHGg,0,10,train
mixing colours,8KF9cZ9N-Rw,216,226,train
scrapbooking,8K_wpMoRAg4,0,10,train
jumping sofa,8KeE_5C5_80,8,18,train
playing shuffleboard,8L_l7G_1h_M,0,10,train
playing blackjack,8LeewC9Gw_o,0,10,train
peeling banana,8LmuOdNbsT4,0,10,train
saluting,8M188CRKrmQ,215,225,train
playing shuffleboard,8MDchLMrTao,0,10,train
milking goat,8MbUZvMdE6c,204,214,train
playing piccolo,8MbpjsE9gDQ,124,134,train
entering church,8N0KByVZ15U,0,10,train
doing sudoku,8NCJkzsqwD8,0,10,train
steering car,8Nq3TlWfcHA,213,223,train
peeling banana,8OsUXQdjxxA,0,10,train
ski ballet,8Oy5_19nTtM,0,10,train
being in zero gravity,8P2N2bMxoxc,109,119,train
sausage making,8P5g3Jys9OY,103,113,train
pulling rope (game),8PH95XyQRps,0,10,train
steer roping,8PrnEWpMs8I,0,10,train
putting wallpaper on wall,8Q4ph-rbVf4,113,123,train
vacuuming car,8QsfE4mZHWQ,0,10,train
closing door,8RIndJurzlk,0,10,train
playing mahjong,8RVSEPYzDoE,694,704,train
coloring in,8S-M5gu2fI4,24,34,train
sieving,8S2iLoslEBE,40,50,train
listening with headphones,8SgfphTN1SA,258,268,train
opening coconuts,8TEN2yMDW0Y,15,25,train
pulling espresso shot,8TOK2TaOLV0,39,49,train
jumping sofa,8TOK8Mjg-6Q,1,11,train
playing mahjong,8TTJovgqrGc,131,141,train
playing blackjack,8TkG41Q1BJE,14,24,train
jumping sofa,8UHGcTBf78U,62,72,train
calculating,8UNQVO6eXBk,224,234,train
playing shuffleboard,8UP2Z2z8b30,62,72,train
playing piccolo,8VJ9oD9fmsQ,0,10,train
doing laundry,8ViGrVmYbtw,544,554,train
blending fruit,8VpD9ViYceA,75,85,train
decoupage,8VwD9ZlUFtY,497,507,train
playing blackjack,8VyFAjgd2Do,0,10,train
steer roping,8VzGpg2gW5M,18,28,train
entering church,8WR0cge_N9U,0,10,train
shoot dance,8X5RfyWbNiE,12,22,train
home roasting coffee,8XAxeL7g_3g,0,10,train
ski ballet,8XJmXHN-O1I,0,10,train
listening with headphones,8XcAN6yBZjw,341,351,train
pulling rope (game),8YCcLYSVYks,0,10,train
assembling bicycle,8YXRxbLLLlg,51,61,train
playing rounders,8Z-vHF36jfs,48,58,train
playing blackjack,8ZhhXstak9Q,0,10,train
passing American football (in game),8ZlA__ny7gc,2,12,train
dealing cards,8_eiJngU_6o,68,78,train
ski ballet,8_niU7h6Azw,76,86,train
playing piccolo,8_y2ENPRq2s,3,13,train
entering church,8advL-CnEk0,6,16,train
vacuuming car,8affSc8HUzc,10,20,train
listening with headphones,8bX0GRUFXuA,13,23,train
pouring milk,8bfvz6AUxqc,82,92,train
pulling rope (game),8c3Oa70hwSA,0,10,train
using atm,8cIGySMcVYU,0,10,train
playing mahjong,8cP9nIzYrxY,1155,1165,train
curling eyelashes,8cezYl1lIBk,105,115,train
filling eyebrows,8dMaNngNma8,86,96,train
making slime,8duO7LG-BEc,343,353,train
grooming cat,8duOLS-s-OM,0,10,train
steer roping,8eB7qm44Epg,34,44,train
pulling rope (game),8eQgY_NEsWM,0,10,train
playing blackjack,8eT-Yniyvuo,69,79,train
steer roping,8elkKR2gVS8,0,10,train
steering car,8erjS09zl4E,0,10,train
entering church,8fhB7jqMMWw,23,33,train
pouring wine,8gGhXsy4l1w,0,10,train
playing piccolo,8gRlPMTvHGg,382,392,train
pouring wine,8gdFdYqXHRw,46,56,train
looking in mirror,8h7-u9eUYBE,0,10,train
picking blueberries,8hBi2s4vsRE,594,604,train
baby waking up,8hJqvGa1fgw,9,19,train
entering church,8hKG-esWyNA,35,45,train
pouring wine,8hX9Xbl1qzM,0,10,train
curling eyelashes,8hZK5mwjk7M,157,167,train
peeling banana,8hdJylWPTXM,0,10,train
stacking dice,8hktk4Srb00,11,21,train
spinning plates,8iEUP64Yay8,225,235,train
putting on sari,8iuhxubf02s,213,223,train
cutting cake,8jpncn0AqFQ,2,12,train
mixing colours,8jtmE1FS0AQ,153,163,train
jumping sofa,8kU1uDIkxPM,22,32,train
seasoning food,8kh0ZpQy7es,229,239,train
filling cake,8kpeNz26leA,63,73,train
scrapbooking,8mRKFYjhmiw,173,183,train
playing blackjack,8mi_wSlTfv0,0,10,train
jumping sofa,8n7sDn-uYRI,47,57,train
jumping sofa,8nXz_SgXlW4,0,10,train
playing rounders,8nf86mnatFA,0,10,train
calculating,8nfhp43tB1g,218,228,train
playing nose flute,8nt_FZGlExQ,39,49,train
milking goat,8o6xJVEO_RY,18,28,train
twiddling fingers,8o7mIUTH2jE,3,13,train
pulling rope (game),8oROaou7tos,0,10,train
brushing floor,8oyXOqQw-Mg,127,137,train
surveying,8p9oumzcldc,158,168,train
squeezing orange,8prvAsJicTw,45,55,train
playing road hockey,8q3yWPN1yXA,17,27,train
ski ballet,8qO8hg92tgk,68,78,train
baby waking up,8qcBqg9ZdAI,66,76,train
entering church,8quUPTuwmB8,80,90,train
combing hair,8r0e6rwi-ZM,20,30,train
milking goat,8rQ61-KFboc,0,10,train
playing shuffleboard,8rhT4Rs6Sdg,0,10,train
carving marble,8rsI8pAOVSY,61,71,train
chiseling stone,8rsI8pAOVSY,59,69,train
playing mahjong,8sIpP7536mM,2301,2311,train
shopping,8sfTi896fMI,0,10,train
decoupage,8t4kWNTHDv0,321,331,train
playing rounders,8t6KlD4jPq0,6,16,train
filling eyebrows,8teQJRSpqNE,187,197,train
entering church,8thkH6GaKG8,26,36,train
playing with trains,8tsjgw9aqcY,0,10,train
mixing colours,8uJZceztOGE,44,54,train
spinning plates,8unjZDeEft8,12,22,train
playing shuffleboard,8uolmPRugg8,0,10,train
filling eyebrows,8vim5A3VzbA,101,111,train
scrapbooking,8vipSMHa9tI,193,203,train
playing mahjong,8wOKemVeYyg,30,40,train
taking photo,8wyWBZuM23U,0,10,train
poaching eggs,8x0DWQRfHhg,157,167,train
doing sudoku,8x4wE4368Is,695,705,train
cutting cake,8x5fpttvqbo,63,73,train
closing door,8xBWwFFCCEU,52,62,train
bending back,8xaHgkdvxiA,6,16,train
petting horse,8xoDVgxtvcs,67,77,train
listening with headphones,8yAw1yi0w2s,25,35,train
herding cattle,8yYaqFcUO80,0,10,train
closing door,8zY941FqQK8,35,45,train
steering car,8z_jWRl3Yps,0,10,train
assembling bicycle,8zn-u8q3p-E,100,110,train
dealing cards,8zq8Mi5flFY,282,292,train
mixing colours,9-I5ez_5rCo,67,77,train
swimming with sharks,9-TUORNatFQ,48,58,train
saluting,9-UeIiP6AwM,0,10,train
uncorking champagne,9-_GL8ULksI,13,23,train
petting horse,9-odPoIUJD8,0,10,train
seasoning food,9082n2pfX7U,0,10,train
mixing colours,90DRRNb0fgo,112,122,train
poking bellybutton,90LFla5YTVg,5,15,train
carrying weight,90kRt1kzssY,6,16,train
blending fruit,90z2WA9-Xz0,72,82,train
testifying,91S6MpkMcAM,42,52,train
eating nachos,91x5wcCW2VY,151,161,train
steer roping,92n-gORBCHo,0,10,train
home roasting coffee,92vFwtb23X4,463,473,train
card stacking,92zPGVG0OeI,0,10,train
curling eyelashes,93XbPCzBNxE,0,10,train
pouring milk,94GvMAWU4pQ,0,10,train
playing rounders,96Qqy6BLfME,113,123,train
pulling rope (game),96SBF04xUnU,0,10,train
playing blackjack,96U9156xmXQ,0,10,train
coloring in,96_ghr-uQVQ,525,535,train
steering car,96n-uqWjgrc,0,10,train
threading needle,97F2FhdJ36k,33,43,train
playing rounders,97RvlxbCtEg,0,10,train
vacuuming car,97dDemSBjBs,14,24,train
baby waking up,97jP5uX7G_c,0,10,train
scrubbing face,97mGz9rerGo,69,79,train
swimming with sharks,98ajhSy4yOw,0,10,train
shoot dance,998A6IxI-eA,104,114,train
herding cattle,99BCV2LBATY,0,10,train
surveying,99Gh2Z2aQgI,0,10,train
opening coconuts,9AUmJrh2tv4,0,10,train
scrubbing face,9B7JZNmE3Xo,288,298,train
shoot dance,9Bd0VYpjZcE,0,10,train
putting on shoes,9Bk-GzTCios,36,46,train
mushroom foraging,9CQxc-P6004,100,110,train
surveying,9CYZ7unlI38,0,10,train
capsizing,9Cj9XdJdPaU,44,54,train
eating nachos,9DOLIuDpqKk,382,392,train
scrubbing face,9E14jU5f6n4,256,266,train
tossing salad,9F0aRPKVsD0,341,351,train
pouring wine,9FgsVl2vW0I,145,155,train
lighting candle,9GD1O956cgo,31,41,train
photobombing,9GUUXIwtPpY,9,19,train
playing road hockey,9H45xIUunQw,0,10,train
pulling espresso shot,9H74oPTjKd0,48,58,train
opening coconuts,9HF2lWUvoaM,812,822,train
twiddling fingers,9IAog1PGvzo,15,25,train
poaching eggs,9ICboQdGcgg,8,18,train
decoupage,9IUGN0YRIJQ,31,41,train
letting go of balloon,9IVbYi5ALgk,0,10,train
gospel singing in church,9J0cRwzHs4Y,110,120,train
opening coconuts,9JLLCHgjbyI,17,27,train
squeezing orange,9K7KrOmUzsA,0,10,train
cutting cake,9KDS-N-F0H4,4,14,train
shoot dance,9KL7TiGYYto,6,16,train
putting wallpaper on wall,9KMZzxedUkU,219,229,train
carving marble,9LSR9Gq8djQ,125,135,train
pulling rope (game),9LliwhxH7gc,10,20,train
ski ballet,9Mp_XT2_HQ0,0,10,train
spinning plates,9N6Wsl3tWhQ,0,10,train
delivering mail,9NCyxgUj6og,21,31,train
pulling rope (game),9NK6B21bwEQ,3,13,train
assembling bicycle,9NNIk_0qgJA,95,105,train
delivering mail,9NZ_bbxkSBE,23,33,train
herding cattle,9NpTE1kaWVQ,0,10,train
delivering mail,9NsHg7DrCVM,12,22,train
ski ballet,9O4L0fCy7Hw,435,445,train
pulling rope (game),9OEVgPyv2r4,13,23,train
opening coconuts,9OJK2al9Xic,58,68,train
picking blueberries,9OLA2MkmPxA,11,21,train
scrubbing face,9ORO0tA3LUw,13,23,train
shopping,9PGiGgHXszw,5,15,train
uncorking champagne,9PQ5FYHxWFk,0,10,train
playing blackjack,9PewK3OqC_o,295,305,train
curling eyelashes,9QT7ldjLEfE,331,341,train
chiseling wood,9QYYifWEmWc,0,10,train
shooting off fireworks,9QmzWbsuxVk,40,50,train
decoupage,9RxXY7IJHRQ,93,103,train
jumping sofa,9S7EjHaJnPg,0,10,train
doing sudoku,9S7RXzy8Rs8,36,46,train
entering church,9ShQf0p0nqY,0,10,train
brushing floor,9SpolMpMsI8,8,18,train
stacking dice,9Tt_b1t04uo,17,27,train
tossing salad,9Uk5BKXOWRk,132,142,train
gospel singing in church,9UzwOfNhFMM,258,268,train
calculating,9VcVJf9PiMk,158,168,train
entering church,9WCIjiIXums,29,39,train
swimming with sharks,9WWDuPyqXyo,174,184,train
sucking lolly,9WkML4jedoM,0,10,train
vacuuming car,9X-sKrkowkQ,0,10,train
shopping,9X8zmNaDZLU,0,10,train
swimming with sharks,9XZF9ntWuhg,160,170,train
milking goat,9XoCRpnCxEA,0,10,train
tossing salad,9YEyHW_ebME,370,380,train
milking goat,9Yi2cUD3E2Q,0,10,train
swimming with sharks,9Zy7K3HbFwU,40,50,train
baby waking up,9_LxvivadV4,2,12,train
coloring in,9_ZhjFNgP2I,0,10,train
waxing armpits,9_c2QDYaaik,0,10,train
steering car,9_mSSODzOOw,10,20,train
grooming cat,9_wG4YfavYw,45,55,train
vacuuming car,9aGzbgrxIxM,0,10,train
swimming with sharks,9bJTZI4UeG4,0,10,train
saluting,9bqMOAUndAI,0,10,train
calculating,9btEvk9Qh84,130,140,train
making slime,9cCs6OICGx4,70,80,train
picking blueberries,9cEJB1fZk1A,15,25,train
steering car,9cV-2OAEwrg,0,10,train
blending fruit,9cwB1_WS-5c,25,35,train
photobombing,9d0_sjxeR0U,0,10,train
swimming with sharks,9dTdPVHUgbE,0,10,train
coloring in,9dku9FhG82Q,46,56,train
jumping sofa,9dpRLIdk0K0,12,22,train
grooming cat,9eAVmCZcV1Y,0,10,train
adjusting glasses,9fUD93cNTQ0,11,21,train
herding cattle,9fUPM5BpIYU,33,43,train
sucking lolly,9ffUgtB1g6k,0,10,train
jumping sofa,9fu19laYxBw,0,10,train
saluting,9g2TLERYQEk,0,10,train
punching person (boxing),9gFudDUE9SQ,52,62,train
tiptoeing,9gKdb5QGwV8,0,10,train
answering questions,9gS0yCHZ8B4,99,109,train
uncorking champagne,9gzobym2h5s,36,46,train
pulling rope (game),9iR-wVEcD1M,0,10,train
looking in mirror,9icumanXAIw,0,10,train
ski ballet,9itMqCEcxhs,35,45,train
listening with headphones,9itU-orhULo,52,62,train
squeezing orange,9j0nVRiYUxw,0,10,train
waxing armpits,9jiP7ZeRNBM,353,363,train
mixing colours,9k8ZSX3srrU,0,10,train
playing nose flute,9k970LedsrQ,0,10,train
chiseling stone,9l-1BgsMrdI,703,713,train
squeezing orange,9l8amMnBK70,123,133,train
twiddling fingers,9lPZqomSXfU,0,10,train
doing sudoku,9lZTQn5b7V8,169,179,train
photobombing,9ldOjIc8fcw,5,15,train
pouring wine,9lhU44FeTpc,145,155,train
being in zero gravity,9lrOQGFagl4,104,114,train
pulling rope (game),9mA-fCFvjoc,14,24,train
pulling rope (game),9mGlCZzvQ_4,3,13,train
poking bellybutton,9mZq4BZS4gg,0,10,train
gospel singing in church,9mic8sBoKCk,0,10,train
stacking dice,9n5rYh81h6I,239,249,train
blending fruit,9n9mI7PpS20,10,20,train
steering car,9nh72wfnEsc,0,10,train
playing shuffleboard,9nof5NhkGtw,0,10,train
eating nachos,9o9Rxbq8jxY,132,142,train
playing piccolo,9oGJ6_ntpSQ,0,10,train
mixing colours,9ocwDwqmiJw,21,31,train
polishing furniture,9pJwTiBUBIA,162,172,train
using atm,9pXN-SNU-qk,186,196,train
scrapbooking,9pzVooBrDMA,31,41,train
being in zero gravity,9q3xFDpF2ls,0,10,train
swimming with sharks,9q5YLg7ll3c,653,663,train
scrubbing face,9q73tHJGFc4,124,134,train
coloring in,9qIc49wb0xY,246,256,train
curling eyelashes,9ql63_DeqA8,54,64,train
scrapbooking,9qpsCMok9eg,68,78,train
spinning plates,9rxO_lbAsmI,0,10,train
adjusting glasses,9s1J0ZPtD_g,541,551,train
brushing floor,9sCi4ZHLvHQ,50,60,train
scrubbing face,9smNDD7VrE4,188,198,train
herding cattle,9svUwNVAaVQ,0,10,train
milking goat,9tDNIrXyuk4,0,10,train
ski ballet,9tOdbzIAQDg,0,10,train
making slime,9tYHbW8EdHQ,145,155,train
base jumping,9tcV9QzqOM8,0,10,train
seasoning food,9ttReschVmI,89,99,train
playing piccolo,9u446iRC13s,6,16,train
steering car,9u8enxnAZ9g,0,10,train
playing blackjack,9uJ4hFHwf-Q,109,119,train
playing road hockey,9uJeBHjgQaE,0,10,train
testifying,9uOfMR8yKHE,0,10,train
dealing cards,9uWVDWvlIPg,166,176,train
playing blackjack,9utpGuTC8V0,39,49,train
laying decking,9vJlcYhGKjw,172,182,train
decoupage,9w6e_WCHI7w,48,58,train
entering church,9w7fhfcickU,19,29,train
mixing colours,9wHztUMaVi4,0,10,train
taking photo,9wIHmY8R27A,0,10,train
scrubbing face,9wvt47CkUgg,28,38,train
dealing cards,9x76MuFgeS0,27,37,train
playing rounders,9x9l1BOfbr4,0,10,train
squeezing orange,9xtgtAdediI,11,21,train
carving wood with a knife,9yGBW7xBNm8,21,31,train
doing sudoku,9yJW1_chjpo,65,75,train
pulling espresso shot,9yMed7IiXYI,33,43,train
baby waking up,9yOEmHQ4p_k,0,10,train
playing mahjong,9yY-VnMQSH8,0,10,train
playing mahjong,9ycIDfMKTHM,2136,2146,train
opening coconuts,9z8L3ZemYB4,4,14,train
blending fruit,9zTH9IM9gCs,8,18,train
petting horse,9zV_gjTZc7Y,23,33,train
entering church,9zsdadg62jQ,48,58,train
decoupage,A-50yPmOqX8,452,462,train
pouring wine,A-FgglSYQkg,73,83,train
pulling rope (game),A-LkMHlRbGY,0,10,train
squeezing orange,A07PCEc7W34,34,44,train
doing sudoku,A0D5VCtPvzs,10,20,train
shredding paper,A0X-UJTfaoM,22,32,train
filling eyebrows,A0wWNlt47kE,172,182,train
decoupage,A0zhT6xs70k,762,772,train
bending back,A1PgmwNHs4Y,21,31,train
pulling rope (game),A1rn839LRXU,0,10,train
assembling bicycle,A1vRAk1VJe0,14,24,train
punching person (boxing),A22Z6e41frQ,0,10,train
filling eyebrows,A2TLAu29fto,0,10,train
playing piccolo,A2ZLb9sOYTI,19,29,train
